empresa,titulo,link,data_abertura,data_fechamento
Boticário,Analista II Produto Gifts (Business),https://grupoboticario.gupy.io/jobs/9384874?jobBoardSource=gupy_public_page,2025-06-25,2025-07-01
Boticário,Especialista I - Produto Inovação Cabelos (Truss Professional),https://grupoboticario.gupy.io/jobs/9359892?jobBoardSource=gupy_public_page,2025-06-25,2025-06-30
Boticário,Product Manager - Especialista I (Tech Corporate),https://grupoboticario.gupy.io/jobs/9419065?jobBoardSource=gupy_public_page,2025-06-25,2025-06-27
AmbevTech,[Ambev Global Tech] Data Scientist,https://ambevtech.gupy.io/jobs/8927653?jobBoardSource=gupy_public_page,2025-06-26,
AmbevTech,[Ambev Global Tech] Logistics Product Owner - SAP TM,https://ambevtech.gupy.io/jobs/8953618?jobBoardSource=gupy_public_page,2025-06-26,
AmbevTech,[Ambev Global Tech] Senior Master Data Integration & Interoperability Specialist,https://ambevtech.gupy.io/jobs/9423591?jobBoardSource=gupy_public_page,2025-06-26,
AmbevTech,[Ambev Global Tech] TAX Product Specialist,https://ambevtech.gupy.io/jobs/8679489?jobBoardSource=gupy_public_page,2025-06-26,
AmbevTech,[Ambev Global Tech] Product Owner P2P - BAU Support,https://ambevtech.gupy.io/jobs/8755540?jobBoardSource=gupy_public_page,2025-06-26,
AmbevTech,[Ambev Global Tech] Product Owner P2P – Procurement,https://ambevtech.gupy.io/jobs/8954637?jobBoardSource=gupy_public_page,2025-06-26,
AmbevTech,[Ambev Global Tech] Senior SAP Master Data Management Specialist,https://ambevtech.gupy.io/jobs/9423712?jobBoardSource=gupy_public_page,2025-06-26,
AmbevTech,[Ambev Global Tech] Controlling/Costing Product Specialist,https://ambevtech.gupy.io/jobs/8679534?jobBoardSource=gupy_public_page,2025-06-26,
Boticário,Analista Engenharia de produtos III - (Temporário 8 meses) | Curitiba/PR ou São Paulo/SP,https://grupoboticario.gupy.io/jobs/9413531?jobBoardSource=gupy_public_page,2025-06-27,2025-07-07
Boticário,Group Product Manager E-commerce (omni e loja),https://grupoboticario.gupy.io/jobs/9408247?jobBoardSource=gupy_public_page,2025-06-28,2025-07-04
Boticário,Pessoa Supervisora - Dados Mestre de Produtos | São José dos Pinhais - PR,https://grupoboticario.gupy.io/jobs/9426298?jobBoardSource=gupy_public_page,2025-06-28,2025-07-03
Boticário,Analista II de Tendências e Inovação de Produto,https://grupoboticario.gupy.io/jobs/9348042?jobBoardSource=gupy_public_page,2025-06-30,2025-07-05
AmbevTech,[Ambev Global Tech] Accounting Product Specialist - FI,https://ambevtech.gupy.io/jobs/8679419?jobBoardSource=gupy_public_page,2025-06-30,
Boticário,Analista II - Projetos & Dados (Planejamento Demanda) - Vaga afirmativa para pessoas negras (pretas e pardas),https://grupoboticario.gupy.io/jobs/9359876?jobBoardSource=gupy_public_page,2025-06-30,2025-07-10
OLX,Data Analytics Manager,https://vemsergrupoolx.gupy.io/jobs/9367172?jobBoardSource=gupy_public_page,2025-06-30,2025-07-07
OLX,Data Analytics Coordinator,https://vemsergrupoolx.gupy.io/jobs/9307239?jobBoardSource=gupy_public_page,2025-07-01,2025-07-16
C&A,Analista de Expansão Pleno (Foco em Dados),https://cea.gupy.io/jobs/9446265?jobBoardSource=gupy_public_page,2025-07-01,
Boticário,Data Product Manager Especialista I (Dados),https://grupoboticario.gupy.io/jobs/9417798?jobBoardSource=gupy_public_page,2025-07-01,2025-07-16
Boticário,Analista Produtos Financeiros III - Mooz,https://grupoboticario.gupy.io/jobs/9435465?jobBoardSource=gupy_public_page,2025-07-01,2025-07-06
Boticário,Pessoa Compradora III – Lançamento de Produtos - (Temporário 6 meses),https://grupoboticario.gupy.io/jobs/9426523?jobBoardSource=gupy_public_page,2025-07-01,2025-07-07
Localiza,BANCO DE TALENTOS - PRODUCT OWNER | Remoto,https://localiza.gupy.io/jobs/9457094?jobBoardSource=gupy_public_page,2025-07-02,
Localiza,ANALISTA DE ANALYTICS JR | BELO HORIZONTE/MG,https://localiza.gupy.io/jobs/9411374?jobBoardSource=gupy_public_page,2025-07-03,2025-07-11
Raízen,Analista Gestão Dados e Resultados Pleno,https://genteraizen.gupy.io/jobs/9386044?jobBoardSource=gupy_public_page,2025-07-03,
Raízen,Agente Controle Empresarial,https://genteraizen.gupy.io/jobs/9434975?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Agente Controle Empresarial,https://genteraizen.gupy.io/jobs/9148610?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Advogado(a) Pleno - Contratos Financeiros e Mercado de Capitais,https://genteraizen.gupy.io/jobs/9220055?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Agente Controle Empresarial,https://genteraizen.gupy.io/jobs/9012540?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Agente Controle Empresarial,https://genteraizen.gupy.io/jobs/9220139?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Agente Controle Empresarial,https://genteraizen.gupy.io/jobs/9233216?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Agente Controle Empresarial,https://genteraizen.gupy.io/jobs/8950170?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
